modelo,razon,ic_bajo,ic_alto,cobertura,independencia,magnitud,estabilidad,puntaje
mc_merton,0.9622737700739222,0.5609056122448977,1.4413265306122438,3,0,4,4,11
t_student,1.0833545755799125,0.6887755102040811,1.5497448979591826,3,0,3,4,10
cornish_fisher,0.6818761152179449,0.3380102040816324,1.1033163265306114,1,0,4,3,8
evt,1.076981901605913,0.6505102040816322,1.5816326530612232,2,0,2,4,8
fhs,1.2235534030079012,0.8545918367346932,1.6519451530612208,2,0,2,4,8
historico,1.2044353810859028,0.7589285714285708,1.7155612244897944,2,0,2,4,8
mc_merton_idio,1.3701249044098893,0.9056122448979584,1.9132653061224474,0,0,0,4,4
ewma,2.039255671679835,1.568877551020407,2.5573979591836715,0,1,0,0,1
mc_gbm,1.7907213866938552,1.2627551020408152,2.385204081632651,0,0,0,0,0
normal,1.7843487127198558,1.2627551020408152,2.378826530612243,0,0,0,0,0
