lambda,ventana,modelo,exc,razon,p_kupiec,p_ind
0.02,750,normal,77,1.8451953031392265,9.145641804688081e-07,6.482099147211979e-10
0.02,750,historico,52,1.246105919003114,0.12384660618614284,1.1218827967455887e-11
0.02,750,mc_merton,62,1.507049100631987,0.0023600318783888376,4.3759048760390676e-11
0.02,750,fhs,55,1.3179966450994476,0.04900773831967125,6.762455162143955e-05
0.02,1000,normal,81,2.0647463675758333,4.575576967694087e-09,5.479050687692238e-07
0.02,1000,historico,52,1.325516186591893,0.05096454591368736,3.616019087617364e-06
0.02,1000,mc_merton,64,1.6314045373438681,0.0002701472262307335,5.807085993446812e-07
0.02,1000,fhs,50,1.274534794799897,0.09737505330440029,0.000371129828111948
0.02,1250,normal,78,2.123604682820581,2.6627499230941164e-09,4.179844822385973e-06
0.02,1250,historico,47,1.2796079499047088,0.10257235296578435,2.075483549300972e-05
0.02,1250,mc_merton,67,1.8241219711407552,6.760211545202592e-06,0.00018967859545811417
0.02,1250,fhs,48,1.3068336509665113,0.07430553521155708,0.0034190290561516854
0.05,750,normal,77,1.8451953031392265,9.145641804688081e-07,6.482099147211979e-10
0.05,750,historico,52,1.246105919003114,0.12384660618614284,1.1218827967455887e-11
0.05,750,mc_merton,41,0.9965969859017979,0.9824883288091321,1.9136519257621124e-06
0.05,750,fhs,55,1.3179966450994476,0.04900773831967125,6.762455162143955e-05
0.05,1000,normal,81,2.0647463675758333,4.575576967694087e-09,5.479050687692238e-07
0.05,1000,historico,52,1.325516186591893,0.05096454591368736,3.616019087617364e-06
0.05,1000,mc_merton,40,1.0196278358399176,0.9019810528683271,1.8507054796743862e-06
0.05,1000,fhs,50,1.274534794799897,0.09737505330440029,0.000371129828111948
0.05,1250,normal,78,2.123604682820581,2.6627499230941164e-09,4.179844822385973e-06
0.05,1250,historico,47,1.2796079499047088,0.10257235296578435,2.075483549300972e-05
0.05,1250,mc_merton,38,1.034576640348488,0.8341172759904935,3.0318706668245815e-05
0.05,1250,fhs,48,1.3068336509665113,0.07430553521155708,0.0034190290561516854
0.1,750,normal,77,1.8451953031392265,9.145641804688081e-07,6.482099147211979e-10
0.1,750,historico,52,1.246105919003114,0.12384660618614284,1.1218827967455887e-11
0.1,750,mc_merton,31,0.7566512082011221,0.1018964114479106,1.9678694992957943e-06
0.1,750,fhs,55,1.3179966450994476,0.04900773831967125,6.762455162143955e-05
0.1,1000,normal,81,2.0647463675758333,4.575576967694087e-09,5.479050687692238e-07
0.1,1000,historico,52,1.325516186591893,0.05096454591368736,3.616019087617364e-06
0.1,1000,mc_merton,34,0.871794871794871,0.41069221527870825,2.32614664544416e-07
0.1,1000,fhs,50,1.274534794799897,0.09737505330440029,0.000371129828111948
0.1,1250,normal,78,2.123604682820581,2.6627499230941164e-09,4.179844822385973e-06
0.1,1250,historico,47,1.2796079499047088,0.10257235296578435,2.075483549300972e-05
0.1,1250,mc_merton,26,0.7078682276068603,0.060421734114274386,2.000177981352001e-05
0.1,1250,fhs,48,1.3068336509665113,0.07430553521155708,0.0034190290561516854
