modelo,razon,pers,ES,mult,capital,pasa
historico,1.2299260769819007,12.083437079225122,2,3.13,519.0377819836929,5
normal,1.7843487127198558,6.956124417911388,0,3.2341666666666664,464.6060454735151,0
mc_gbm,1.8162120825898531,6.305750430626672,0,3.2375,465.0560571561561,0
mc_merton,0.9367830741779243,19.384233025746184,4,3.1016666666666666,549.822445183396,8
mc_merton_idio,1.3701249044098893,8.902501035650342,0,3.173333333333333,486.9701386242284,2
t_student,1.064236553657914,11.822022021304239,3,3.1033333333333335,548.2844325999198,7
cornish_fisher,0.6882487891919444,29.321089168334492,4,3.0741666666666667,692.6038256110071,6
evt,1.0833545755799125,13.22222063466535,2,3.1191666666666666,531.2799404327997,6
ewma,2.090237063471831,3.427312580355534,0,3.353333333333333,448.73997718757914,1
fhs,1.2235534030079012,7.476441950484503,2,3.0991666666666666,503.72548097403336,5
mc_merton_ewma,0.7201121590619418,10.525465826444087,4,3.0,543.5477302227437,8
fhs_merton,1.2235534030079012,7.43186809097382,1,3.0891666666666664,498.3899033463375,5
